"","Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved","colsN","conDate","locName","datNum","weekname","contactcount"
"31","New","Canberra Centre- Men's Public Toilets (adjacent to Dangerfield)","Canberra Centre, 148 Bunda Street","Canberra City","30/08/2021 - Monday","11:30am","12:00pm","Monitor",-35.2802271,149.1333059,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Canberra City",30,35,14
"32","New","Kan Sushi & Pok","3/221 London Circuit","Canberra City","30/08/2021 - Monday","11:50am","7:30pm","Casual",-35.2823957,149.132369,NA,FALSE,"yellow",2021-08-30,"Canberra City",30,35,14
"33","New","Emart Asian Supermarket","Shop 15/45 West Row","Canberra City","30/08/2021 - Monday","1:20pm","2:45pm","Casual",-35.2786733,149.1270662,NA,FALSE,"yellow",2021-08-30,"Canberra City",30,35,14
"34","New","Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","30/08/2021 - Monday","11:30am","7:30pm","Monitor",-35.2802271,149.1332559,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Canberra City",30,35,14
"35","New","The Lott Chisholm","42 Halley Street","Chisholm","30/08/2021 - Monday","2:20pm","3:00pm","Casual",-35.4140008,149.1282207,NA,FALSE,"yellow",2021-08-30,"Chisholm",30,35,14
"36","New","Coles Chisholm","42 Halley Street","Chisholm","30/08/2021 - Monday","1:45pm","3:00pm","Casual",-35.4141067,149.1283669,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"yellow",2021-08-30,"Chisholm",30,35,14
"37","New","7-Eleven Erindale","76 Gartside Street","Wanniassa","30/08/2021 - Monday","1:00pm","1:30pm","Monitor",-35.4054226,149.1012591,NA,FALSE,"blue",2021-08-30,"Wanniassa",30,35,12
"38","New","Casey Market Town","15 Kingsland Parade","Casey","30/08/2021 - Monday","2:15pm","3:00pm","Monitor",-35.17447,149.0959449,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Casey",30,35,12
"39","New","ALDI Casey","15 Kingsland Parade","Casey","30/08/2021 - Monday","2:15pm","3:00pm","Monitor",-35.17447,149.0958949,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Casey",30,35,12
"40","New","Belco Halal Kebabs and Pizzeria","Westfield Belconnen, Belconnen Way","Belconnen","30/08/2021 - Monday","1:00pm","2:00pm","Monitor",-35.2374453,149.0631174,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Belconnen",30,35,15
"41","New","SupaExpress Florey","1/26 Kesteven Street","Florey","30/08/2021 - Monday","3:00pm","4:00pm","Monitor",-35.2263914,149.0544019,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Florey",30,35,4
"42","New","Chargrilld Eatery and Pizza Bar","1/59 Cameron Avenue","Belconnen","30/08/2021 - Monday","7:00pm","7:45pm","Monitor",-35.2409706,149.0709965,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Belconnen",30,35,15
"43","New","7-Eleven Mawson","1 Mawson Place","Mawson","30/08/2021 - Monday","2:00pm","2:40pm","Monitor",-35.365172,149.0937123,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-08-30,"Mawson",30,35,10
"44",NA,"Argyle Housing - Ainslie Village","23 Quick Street","Campbell","29/08/2021 - Sunday","12:00am","11:59pm","Close",-35.2749161,149.1491264,NA,FALSE,"red",2021-08-29,"Campbell",29,35,7
"45",NA,"Priceline Pharmacy Woden","Westfield Woden, Keltie Street","Phillip","29/08/2021 - Sunday","12:45pm","2:30pm","Close",-35.3461804,149.0846887,NA,FALSE,"red",2021-08-29,"Phillip",29,35,25
"46",NA,"Woolworths Weston Creek","Corner Brierly Street and Mahony Court","Weston","29/08/2021 - Sunday","2:50pm","4:00pm","Casual",-35.340765,149.052681,NA,FALSE,"yellow",2021-08-29,"Weston",29,35,16
