"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Coles Express Manuka","Canberra Avenue and Flinders Way","Griffith","13/09/2021 - Monday","1:25pm","2:05pm","Monitor",-35.3200444,149.1343535,"",FALSE
"","BP Kingston","77 Canberra Avenue","Kingston","13/09/2021 - Monday","4:30pm","5:10pm","Monitor",-35.3199398,149.1389056,"",FALSE
"","Woolworths Erindale","50-68 Comrie Street","Wanniassa","13/09/2021 - Monday","2:10pm","3:00pm","Casual",-35.4035739,149.098752,"",FALSE
"","Computer Science and Information Technology Building #108 - Level 1 (Ground Floor) only","108 North Road","Acton","13/09/2021 - Monday","12:15pm","3:30pm","Casual",NA,NA,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Coles Belconnen","Westifield Belconnen, Benjamin Way","Belconnen","13/09/2021 - Monday","6:25pm","7:30pm","Casual",-35.237949,149.064862,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","ALDI Gungahlin","Hibberson Street","Gungahlin","13/09/2021 - Monday","12:30pm","1:25pm","Casual",-35.1853494,149.1362378,"",FALSE
"","Coles Amaroo","Horse Park Drive","Amaroo","13/09/2021 - Monday","12:50pm","1:40pm","Monitor",-35.1646128,149.1318566,"",FALSE
"","Pacifik Halal Meats","54-56/141 Ernest Cavanagh Street","Gungahlin","13/09/2021 - Monday","12:30pm","1:15pm","Monitor",-35.1848047,149.136488,"",FALSE
"","7-Eleven Kippax","88 Hardwick Crescent","Holt","13/09/2021 - Monday","11:00am","11:50am","Monitor",-35.2209147,149.0178943,"",FALSE
"","Charcoal Rooster","94 Lowanna Street","Braddon","13/09/2021 - Monday","9:00am","9:40am","Monitor",-35.2641258,149.1328287,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS707","O'Connor to Dickson","Public Transport","13/09/2021 - Monday","12:44pm","1:02pm","Casual",-35.2809368,149.1301342,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS499","City to O'Connor","Public Transport","13/09/2021 - Monday","2:34pm","2:40pm","Casual",-35.2809368,149.1300592,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS641","O'Connor to Dickson","Public Transport","13/09/2021 - Monday","4:12pm","4:29pm","Casual",-35.2809368,149.1300342,"",FALSE
"","Bus Route 50 Transport Canberra Code BUS391","Dickson to Watson","Public Transport","13/09/2021 - Monday","8:38pm","8:43pm","Casual",-35.2809368,149.1299592,"",FALSE
"","Bus Route 9 Transport Canberra Code BUS391","Watson to Dickson Interchange","Public Transport","13/09/2021 - Monday","9:08pm","9:13pm","Casual",-35.250558,149.133789,"",FALSE
"","Bus Route 50 Transport Canberra Code BUS707","Dickson to O'Connor","Public Transport","13/09/2021 - Monday","9:16pm","9:23pm","Casual",-35.2809368,149.1299842,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV009","Dickson Interchange to Alinga Street","Public Transport","13/09/2021 - Monday","1:27pm","1:33pm","Casual",-35.250558,149.133739,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV014","Dickson Interchange to Ipima Street","Public Transport","13/09/2021 - Monday","4:54pm","4:57pm","Casual",-35.250558,149.133689,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV001","Ipima Street to Dickson Interchange","Public Transport","13/09/2021 - Monday","7:33pm","7:36pm","Casual",-35.266635,149.1348303,"",FALSE
"","Optimal Pharmacy Plus Jamison","Jamison Plaza, Bowman Street","Macquarie","13/09/2021 - Monday","12:10pm","1:10pm","Casual",-35.2527782,149.0717558,"",FALSE
"","Amcal+ Pharmacy Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/09/2021 - Monday","12:40pm","5:30pm","Casual",-35.2464419,149.0676469,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","13/09/2021 - Monday","2:50pm","3:30pm","Monitor",-35.4168087,149.0679945,"",FALSE
"","Woolworths Conder","Lanyon Marketplace, 4 Sidney Nolan Street","Conder","13/09/2021 - Monday","6:00pm","6:50pm","Monitor",-35.457644,149.092486,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Popes Electrical and Data Supplies Phillip","50-52 Colbee Court","Phillip","13/09/2021 - Monday","8:00am","9:00am","Casual",-35.3528956,149.0873239,"",FALSE
"New","IGA X-press East Row","22-58 East Row","Canberra City","13/09/2021 - Monday","7:00pm","8:00pm","Monitor",-35.2791945,149.1307187,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","13/09/2021 - Monday","8:00pm","8:30pm","Casual",-35.2802271,149.1333309,"",FALSE
"New","Kingsley's Chicken Erindale","5/20 Gartside Street","Wanniassa","13/09/2021 - Monday","6:10pm","7:00pm","Monitor",-35.4057929,149.0997253,"",FALSE
"New","United Petroleum Kambah","150 O'Halloran Circuit","Kambah","13/09/2021 - Monday","1:30pm","2:30pm","Monitor",-35.3926772,149.0689465,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
