"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact"
"","Light Rail - R1 Transport Canberra Code LRV012","Dickson Interchange to Gungahlin","Public Transport","11/08/2021 - Wednesday","3:13pm","3:31pm","Casual"
"","Lyneham High School","Goodwin Street","Lyneham","11/08/2021 - Wednesday","8:30am","3:30pm","Close"
"","North Canberra Business Centre","54 Vicars Street","Mitchell","11/08/2021 - Wednesday","11:10am","11:30am","Close"
"","Ochre Medical Centre Kingston","Level 1, Unit 6/62 Jardine Street","Kingston","11/08/2021 - Wednesday","4:30pm","4:40pm","Monitor"
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","8:30am","8:35am","Close"
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","12:00pm","1:00pm","Close"
"","Power Kart Raceway","125 Canberra Avenue","Griffith","11/08/2021 - Wednesday","7:15pm","8:30pm","Close"
"","Rebel Sport","Shop LM2, Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual"
"","Sharing Places Building 3 - Pearce Community Centre","Collett Place","Pearce","11/08/2021 - Wednesday","8:45am","9:30am","Casual"
"","Southern Cross Basketball Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","6:30pm","10:00pm","Casual"
"","Southern Cross Basketball Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","8:30pm","10:00pm","Casual"
"","Southern Cross Basketball Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","8:30pm","9:00pm","Casual"
"","Stockade Gym","7 Kembla Street","Fyshwick","11/08/2021 - Wednesday","5:00pm","6:00pm","Casual"
"","Subway Dickson","Shop 1/71-81 Woolley Street","Dickson","11/08/2021 - Wednesday","7:00pm","7:50pm","Close"
"","Supabarn Casey","15 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:05pm","1:30pm","Casual"
"","Sushi Island","15/22 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:00pm","1:10pm","Casual"
"","The Bucket Warehouse","Unit 1E/5 Pelle Street","Mitchell","11/08/2021 - Wednesday","5:25pm","7:15pm","Close"
"","The Civic Pub","8 Lonsdale Street","Braddon","11/08/2021 - Wednesday","5:00pm","8:30pm","Close"
"","The Greenshed Mitchell","Flemington Road","Mitchell","11/08/2021 - Wednesday","9:45am","2:15pm","Monitor"
"","The Rehabilitation Specialists","9/27 Yallourn Street","Fyshwick","11/08/2021 - Wednesday","2:30pm","5:00pm","Close"
"","The Rehabilitation Specialists","9/27 Yallourn Street","Fyshwick","11/08/2021 - Wednesday","8:30am","9:30am","Close"
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","11/08/2021 - Wednesday","7:45am","8:30am","Casual"
"","Turkish Delight","75/71 Giles Street","Kingston","11/08/2021 - Wednesday","6:35pm","6:45pm","Close"
"","UC Library","Building 8 University of Canberra","Bruce","11/08/2021 - Wednesday","8:00pm","9:00pm","Monitor"
"","Westpac Woden","Woden Centre Plaza, Shops L06-08/3 Bradley Street","Phillip","11/08/2021 - Wednesday","11:00am","12:00pm","Casual"
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","11/08/2021 - Wednesday","6:30pm","7:10pm","Casual"
"","Woolworths Dickson","1 Dickson Place","Dickson","11/08/2021 - Wednesday","3:00pm","3:30pm","Casual"
"","Woolworths Gungahlin","30 Hibberson Street","Gungahlin","11/08/2021 - Wednesday","8:00am","8:50am","Casual"
"","Woolworths Gungahlin","30 Hibberson Street","Gungahlin","11/08/2021 - Wednesday","3:30pm","4:20pm","Casual"
"","Xian Restaurant","1/140 Emu Bank","Belconnen","11/08/2021 - Wednesday","9:15pm","9:45pm","Casual"
"","Yum Cha","Westfield Belconnen, Benjamin Way","Belconnen","11/08/2021 - Wednesday","3:00pm","4:30pm","Close"
"New","Urban Fusion Massage","165/148 Flemington Road","Harrison","11/08/2021 - Wednesday","6:15pm","8:30pm","Close"
"New","Laverty Pathology Gungahlin","Gungahlin Square, Unit 131, Hibberson Street","Gungahlin","11/08/2021 - Wednesday","7:45am","8:30am","Close"
"","Assembly The People’s Pub","11 Lonsdale Street","Braddon","10/08/2021 - Tuesday","7:30pm","10:15pm","Close"
"","Basketball ACT, Basketball & Sports Centre","42 Oatley Court","Belconnen","10/08/2021 - Tuesday","12:00pm","3:00pm","Casual"
"","Basketball ACT, Basketball & Sports Centre","42 Oatley Court","Belconnen","10/08/2021 - Tuesday","5:50pm","7:30pm","Casual"
"","Big W Gungahlin","Gozzard Street","Gungahlin","10/08/2021 - Tuesday","3:45pm","4:30pm","Casual"
"","Bing Lee Belconnen","10-12 Cohen Street","Belconnen","10/08/2021 - Tuesday","12:50pm","1:15pm","Casual"
"","Bus Route 20 Transport Canberra Code BUS629","Bonner to Gunghalin","Public Transport","10/08/2021 - Tuesday","7:33am","7:45am","Casual"
"","Bus Route 20 Transport Canberra Code BUS933","Gungahlin to Amaroo","Public Transport","10/08/2021 - Tuesday","3:33pm","3:43pm","Casual"
"","Bus Route 25 Transport Canberra Code BUS939","Gungahlin to Moncrieff","Public Transport","10/08/2021 - Tuesday","4:23pm","4:38pm","Casual"
"","Bus Route 26 Transport Canberra Code BUS440","Amaroo To Gungahlin","Public Transport","10/08/2021 - Tuesday","7:56am","8.04am","Casual"
"","Bus Route 26 Transport Canberra Code BUS440","Moncrieff to Gungahlin","Public Transport","10/08/2021 - Tuesday","7:50am","8:04am","Casual"
"","Bus Route 8 Transport Canberra Code BUS629","Gungahlin to Belconnen","Public Transport","10/08/2021 - Tuesday","8:00am","8:30am","Casual"
"","Capital Chemist Lyneham","76 Wattle Street","Lyneham","10/08/2021 - Tuesday","2:45pm","3:50pm","Close"
"","Casey Marketplace","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","3:50pm","4:20pm","Monitor"
"","Chapman Primary After School Care Building","46-50 Perry Drive","Chapman","10/08/2021 - Tuesday","2:30pm","6:00pm","Close"
"","CIT Bruce Campus (Building H only)","1 Jack Fleming Place","Bruce","10/08/2021 - Tuesday","8:45am","4:30pm","Close"
"","CIT Bruce Campus (Entire Campus, refer to Close Contacts entry if attended Building H)","35 Vowels Crescent","Bruce","10/08/2021 - Tuesday","8:45am","4:30pm","Monitor"
"","CIT Bruce Campus (Psych Accredited Class, Room G102)","35 Vowels Crescent","Bruce","10/08/2021 - Tuesday","6:00pm","8:00pm","Close"
"","Civic Square Post Office","Shop G14-16, 148 Bunda Street","Canberra City","10/08/2021 - Tuesday","9:30am","9:50am","Casual"
"","Club Lime - CISAC (gym only)","100 Eastern Valley Way","Bruce","10/08/2021 - Tuesday","6:30pm","9:15pm","Close"
"","Coffee Guru Canberra Centre","Shop K05, 148 Bunda Street","Canberra City","10/08/2021 - Tuesday","12:00pm","1:00pm","Close"
"","David Jones Canberra Centre","148 Bunda Street","Canberra City","10/08/2021 - Tuesday","5:15pm","6:00pm","Casual"
"","Engineering House, Tenancy 7/8, level 2","11 National Circuit","Barton","10/08/2021 - Tuesday","7:00am","4:00pm","Close"
"","F45 Training","10 National Circuit","Barton","10/08/2021 - Tuesday","5:00am","8:00am","Close"
"","First Choice Liquor, Braddon","48 Mort Street","Braddon","10/08/2021 - Tuesday","4:25pm","4:45pm","Casual"
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","10/08/2021 - Tuesday","8:00am","3:10pm","Close"
"","Grand Central Towers","15 Bowes Street","Phillip","10/08/2021 - Tuesday","6:00pm","9:00pm","Monitor"
"","Guzman y Gomez Canberra Centre","Shop EG07-07B, 148 Bunda Street","Canberra City","10/08/2021 - Tuesday","5:45pm","6:45pm","Close"
"","Harvey Norman Fyshwick","Barrier Street","Fyshwick","10/08/2021 - Tuesday","10:00am","11:00am","Close"
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","10/08/2021 - Tuesday","8:00am","3:10pm","Casual"
"","Kmart Gungahlin","33 Hibberson Street","Gungahlin","10/08/2021 - Tuesday","3:00pm","4:00pm","Casual"
"","LDK Greenway Views","260 Soward Way","Greenway","10/08/2021 - Tuesday","3:30pm","11:59pm","Close"
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","10/08/2021 - Tuesday","8:30am","5:30pm","Close"
"","Light Rail - R1 Transport Canberra Code LRV003","Gungahlin to Dickson Interchange","Public Transport","10/08/2021 - Tuesday","8:20am","8:38am","Casual"
"","Light Rail - R1 Transport Canberra Code LRV004","Gungahlin to Dickson Interchange","Public Transport","10/08/2021 - Tuesday","8:10am","8:26am","Casual"
"","Light Rail - R1 Transport Canberra Code LRV009","Dickson Interchange to Gungahlin","Public Transport","10/08/2021 - Tuesday","3:13pm","3:31pm","Casual"
"","Light Rail - R1 Transport Canberra Code LRV010","Dickson Interchange to Gungahlin","Public Transport","10/08/2021 - Tuesday","3:18pm","3:37pm","Casual"
"","Lyneham High School","Goodwin Street","Lyneham","10/08/2021 - Tuesday","8:30am","3:30pm","Close"
"","Metropol City","81 Cooyong Street","Canberra City","10/08/2021 - Tuesday","1:30pm","10:00pm","Casual"
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","10/08/2021 - Tuesday","7:15am","8:15am","Close"
"","Seears Workwear","60 Barrier Street","Fyshwick","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual"
"","St Vincent de Paul","32 Buckland Street","Mitchell","10/08/2021 - Tuesday","3:30pm","4:00pm","Close"
"","Stockade Training Centre","7 Kembla Street","Fyshwick","10/08/2021 - Tuesday","9:00am","11:00am","Close"
"","Subsdance Dance Studio","1/27-29 Eyre Street","Kingston","10/08/2021 - Tuesday","6:00pm","8:00pm","Close"
"","Subway Barton","48 Macquarie Street","Barton","10/08/2021 - Tuesday","10:50am","11:20am","Casual"
"","Supabarn Casey","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:10pm","Casual"
"","Sushi Island","15/22 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual"
"","Urban Pantry","5 Bougainville Street","Griffith","10/08/2021 - Tuesday","10:30am","1:00pm","Close"
"","Westfield Belconnen - bus stop entrance","Westfield Belconnen, Benjamin Way","Belconnen","10/08/2021 - Tuesday","7:45am","8:45am","Monitor"
"","Woolworths Kippax","48 Hardwick Crescent","Holt","10/08/2021 - Tuesday","11:00am","11:15am","Monitor"
"","Woolworths Phillip","Westfield Woden, Hindmarsh Drive & Melrose Drive","Phillip","10/08/2021 - Tuesday","5:30pm","6:30pm","Monitor"
"","Coco Republic Construction Site","148 Bunda Street","Canberra City","10/08/2021 - Tuesday","9:30am","5:30pm","Close"
"","Telstra Canberra Head Office (Reception, Level 1 and Level 5)","16-18 Mort Street","Braddon","10/08/2021 - Tuesday","8:00am","10:00am","Monitor"
